IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.67.77.202,4,4,0.00,78.54,0.92,HKG
104.20.24.92,4,4,0.00,79.43,0.88,HKG
104.20.22.216,4,4,0.00,79.77,0.77,HKG
172.67.78.32,4,4,0.00,78.87,0.65,HKG
172.67.65.199,4,4,0.00,79.69,0.62,HKG
172.67.70.252,4,4,0.00,79.61,0.43,HKG
172.67.75.228,4,4,0.00,79.12,0.34,HKG
104.26.2.252,4,4,0.00,79.86,0.18,HKG
172.65.236.170,4,4,0.00,79.70,0.00,N/A
172.65.227.139,4,4,0.00,79.76,0.00,N/A
172.67.68.187,4,4,0.00,79.92,0.00,N/A
172.67.76.117,4,4,0.00,80.18,0.00,N/A
172.67.73.201,4,4,0.00,80.45,0.00,N/A
104.26.14.56,4,4,0.00,80.56,0.00,N/A
104.26.1.76,4,4,0.00,81.04,0.00,N/A
172.65.229.241,4,4,0.00,81.05,0.00,N/A
172.65.237.250,4,4,0.00,81.14,0.00,N/A
104.26.15.78,4,4,0.00,81.16,0.00,N/A
172.65.233.247,4,4,0.00,81.32,0.00,N/A
172.67.64.29,4,4,0.00,81.81,0.00,N/A
104.20.16.160,4,4,0.00,81.87,0.00,N/A
104.20.23.148,4,4,0.00,81.91,0.00,N/A
104.20.28.41,4,4,0.00,81.93,0.00,N/A
104.26.9.25,4,4,0.00,81.96,0.00,N/A
104.20.19.122,4,4,0.00,82.00,0.00,N/A
172.65.234.76,4,4,0.00,82.02,0.00,N/A
104.20.21.27,4,4,0.00,82.18,0.00,N/A
104.20.29.159,4,4,0.00,82.23,0.00,N/A
104.20.18.26,4,4,0.00,82.55,0.00,N/A
104.26.13.147,4,4,0.00,82.85,0.00,N/A
104.26.7.224,4,4,0.00,83.13,0.00,N/A
104.26.5.168,4,4,0.00,83.21,0.00,N/A
172.65.238.156,4,4,0.00,83.28,0.00,N/A
104.20.17.142,4,4,0.00,83.68,0.00,N/A
104.26.4.72,4,4,0.00,84.02,0.00,N/A
172.65.235.65,4,4,0.00,84.03,0.00,N/A
104.26.8.96,4,4,0.00,87.10,0.00,N/A
104.26.11.22,4,4,0.00,87.56,0.00,N/A
104.17.158.208,4,4,0.00,142.59,0.00,N/A
104.17.147.195,4,4,0.00,148.45,0.00,N/A
104.17.135.41,4,4,0.00,149.50,0.00,N/A
104.17.130.58,4,4,0.00,153.46,0.00,N/A
104.17.134.242,4,4,0.00,153.58,0.00,N/A
104.17.149.242,4,4,0.00,153.78,0.00,N/A
198.41.219.197,4,4,0.00,155.69,0.00,N/A
104.17.140.39,4,4,0.00,156.29,0.00,N/A
104.17.144.132,4,4,0.00,156.85,0.00,N/A
104.17.137.46,4,4,0.00,157.72,0.00,N/A
104.17.150.26,4,4,0.00,158.64,0.00,N/A
162.159.237.137,4,4,0.00,159.59,0.00,N/A
104.17.136.159,4,4,0.00,160.06,0.00,N/A
172.64.79.103,4,4,0.00,160.19,0.00,N/A
104.17.152.50,4,4,0.00,162.74,0.00,N/A
104.17.148.157,4,4,0.00,163.40,0.00,N/A
104.17.132.151,4,4,0.00,163.98,0.00,N/A
104.17.141.98,4,4,0.00,165.64,0.00,N/A
104.17.157.214,4,4,0.00,165.74,0.00,N/A
104.17.133.133,4,4,0.00,166.67,0.00,N/A
104.17.155.162,4,4,0.00,167.64,0.00,N/A
104.21.226.149,4,4,0.00,167.79,0.00,N/A
104.21.229.27,4,4,0.00,168.86,0.00,N/A
104.17.145.226,4,4,0.00,168.98,0.00,N/A
104.21.239.20,4,4,0.00,169.21,0.00,N/A
104.17.138.130,4,4,0.00,169.69,0.00,N/A
104.21.234.149,4,4,0.00,170.97,0.00,N/A
104.27.207.150,4,4,0.00,171.20,0.00,N/A
172.64.82.109,4,4,0.00,171.57,0.00,N/A
104.27.206.243,4,4,0.00,171.62,0.00,N/A
104.21.227.152,4,4,0.00,171.80,0.00,N/A
104.17.159.81,4,4,0.00,172.04,0.00,N/A
104.27.205.138,4,4,0.00,172.38,0.00,N/A
104.17.153.63,4,4,0.00,172.42,0.00,N/A
104.27.200.29,4,4,0.00,172.74,0.00,N/A
104.27.192.103,4,4,0.00,173.10,0.00,N/A
104.27.201.226,4,4,0.00,173.34,0.00,N/A
172.67.174.178,4,4,0.00,174.23,0.00,N/A
104.21.218.182,4,4,0.00,174.37,0.00,N/A
172.67.172.84,4,4,0.00,174.41,0.00,N/A
104.17.131.142,4,4,0.00,174.53,0.00,N/A
104.17.154.244,4,4,0.00,174.79,0.00,N/A
104.17.53.48,4,4,0.00,175.13,0.00,N/A
104.21.225.100,4,4,0.00,175.32,0.00,N/A
172.67.204.56,4,4,0.00,175.39,0.00,N/A
104.21.235.93,4,4,0.00,175.55,0.00,N/A
104.17.143.185,4,4,0.00,175.57,0.00,N/A
172.67.227.21,4,4,0.00,175.66,0.00,N/A
104.21.105.25,4,4,0.00,175.70,0.00,N/A
172.65.14.3,4,4,0.00,175.89,0.00,N/A
104.18.221.90,4,4,0.00,176.03,0.00,N/A
104.18.65.4,4,4,0.00,176.13,0.00,N/A
172.66.134.125,4,4,0.00,176.17,0.00,N/A
104.18.239.19,4,4,0.00,176.27,0.00,N/A
104.18.20.113,4,4,0.00,176.36,0.00,N/A
104.17.146.221,4,4,0.00,176.54,0.00,N/A
104.19.31.143,4,4,0.00,176.57,0.00,N/A
104.17.198.184,4,4,0.00,176.59,0.00,N/A
104.17.54.41,4,4,0.00,176.64,0.00,N/A
104.21.43.86,4,4,0.00,176.92,0.00,N/A
104.24.55.83,4,4,0.00,176.97,0.00,N/A
104.18.105.64,4,4,0.00,177.01,0.00,N/A
162.159.234.187,4,4,0.00,177.02,0.00,N/A
104.27.199.67,4,4,0.00,177.09,0.00,N/A
104.21.200.75,4,4,0.00,177.10,0.00,N/A
104.16.110.146,4,4,0.00,177.12,0.00,N/A
104.21.122.176,4,4,0.00,177.14,0.00,N/A
104.27.203.167,4,4,0.00,177.17,0.00,N/A
172.67.161.117,4,4,0.00,177.31,0.00,N/A
172.65.77.219,4,4,0.00,177.34,0.00,N/A
172.64.80.231,4,4,0.00,177.35,0.00,N/A
104.16.245.169,4,4,0.00,177.35,0.00,N/A
141.101.123.5,4,4,0.00,177.38,0.00,N/A
104.21.230.245,4,4,0.00,177.48,0.00,N/A
172.66.156.202,4,4,0.00,177.53,0.00,N/A
104.21.59.57,4,4,0.00,177.53,0.00,N/A
104.21.115.250,4,4,0.00,177.54,0.00,N/A
172.65.79.252,4,4,0.00,177.59,0.00,N/A
104.17.215.105,4,4,0.00,177.61,0.00,N/A
104.19.87.200,4,4,0.00,177.63,0.00,N/A
104.17.97.182,4,4,0.00,177.71,0.00,N/A
162.159.94.235,4,4,0.00,177.85,0.00,N/A
104.24.26.193,4,4,0.00,177.86,0.00,N/A
104.16.151.49,4,4,0.00,177.88,0.00,N/A
172.65.124.51,4,4,0.00,177.89,0.00,N/A
104.16.210.84,4,4,0.00,177.90,0.00,N/A
172.67.212.86,4,4,0.00,177.91,0.00,N/A
172.67.153.229,4,4,0.00,177.95,0.00,N/A
104.27.77.117,4,4,0.00,178.20,0.00,N/A
104.17.156.24,4,4,0.00,178.30,0.00,N/A
104.18.11.101,4,4,0.00,178.31,0.00,N/A
104.17.166.100,4,4,0.00,178.33,0.00,N/A
103.21.244.249,4,4,0.00,178.34,0.00,N/A
104.16.176.80,4,4,0.00,178.34,0.00,N/A
104.27.11.104,4,4,0.00,178.36,0.00,N/A
104.18.172.75,4,4,0.00,178.39,0.00,N/A
104.21.14.153,4,4,0.00,178.44,0.00,N/A
104.27.198.102,4,4,0.00,178.44,0.00,N/A
172.65.146.197,4,4,0.00,178.51,0.00,N/A
104.16.27.132,4,4,0.00,178.52,0.00,N/A
104.19.207.14,4,4,0.00,178.53,0.00,N/A
104.19.211.205,4,4,0.00,178.57,0.00,N/A
172.65.84.66,4,4,0.00,178.62,0.00,N/A
172.67.248.148,4,4,0.00,178.62,0.00,N/A
104.16.187.169,4,4,0.00,178.66,0.00,N/A
172.67.124.24,4,4,0.00,178.67,0.00,N/A
104.17.173.79,4,4,0.00,178.68,0.00,N/A
104.16.2.216,4,4,0.00,178.74,0.00,N/A
104.27.102.168,4,4,0.00,178.75,0.00,N/A
198.41.218.66,4,4,0.00,178.84,0.00,N/A
104.17.113.23,4,4,0.00,178.85,0.00,N/A
104.24.73.44,4,4,0.00,178.86,0.00,N/A
104.25.181.252,4,4,0.00,178.87,0.00,N/A
104.20.7.86,4,4,0.00,178.96,0.00,N/A
104.25.224.150,4,4,0.00,178.97,0.00,N/A
104.17.181.135,4,4,0.00,179.02,0.00,N/A
104.21.22.178,4,4,0.00,179.03,0.00,N/A
172.66.43.199,4,4,0.00,179.04,0.00,N/A
172.67.234.135,4,4,0.00,179.04,0.00,N/A
104.20.41.201,4,4,0.00,179.05,0.00,N/A
104.27.202.79,4,4,0.00,179.07,0.00,N/A
172.64.189.245,4,4,0.00,179.08,0.00,N/A
162.159.229.219,4,4,0.00,179.09,0.00,N/A
172.67.244.147,4,4,0.00,179.10,0.00,N/A
172.65.51.10,4,4,0.00,179.10,0.00,N/A
104.19.150.136,4,4,0.00,179.11,0.00,N/A
104.19.149.226,4,4,0.00,179.11,0.00,N/A
104.18.95.173,4,4,0.00,179.13,0.00,N/A
104.16.167.134,4,4,0.00,179.15,0.00,N/A
104.19.106.127,4,4,0.00,179.16,0.00,N/A
104.21.50.216,4,4,0.00,179.18,0.00,N/A
172.65.173.208,4,4,0.00,179.18,0.00,N/A
104.17.70.52,4,4,0.00,179.23,0.00,N/A
104.19.197.230,4,4,0.00,179.26,0.00,N/A
172.65.47.106,4,4,0.00,179.28,0.00,N/A
104.16.63.182,4,4,0.00,179.28,0.00,N/A
162.159.228.137,4,4,0.00,179.28,0.00,N/A
172.65.13.120,4,4,0.00,179.31,0.00,N/A
104.25.151.206,4,4,0.00,179.32,0.00,N/A
172.66.194.181,4,4,0.00,179.33,0.00,N/A
172.67.249.147,4,4,0.00,179.35,0.00,N/A
104.27.89.40,4,4,0.00,179.37,0.00,N/A
104.25.202.167,4,4,0.00,179.38,0.00,N/A
172.65.64.176,4,4,0.00,179.38,0.00,N/A
162.159.255.79,4,4,0.00,179.39,0.00,N/A
172.67.160.70,4,4,0.00,179.42,0.00,N/A
104.24.190.159,4,4,0.00,179.46,0.00,N/A
104.19.255.243,4,4,0.00,179.46,0.00,N/A
172.67.187.166,4,4,0.00,179.48,0.00,N/A
104.21.24.125,4,4,0.00,179.48,0.00,N/A
104.18.124.137,4,4,0.00,179.50,0.00,N/A
104.19.129.1,4,4,0.00,179.51,0.00,N/A
172.66.1.67,4,4,0.00,179.54,0.00,N/A
172.65.96.207,4,4,0.00,179.58,0.00,N/A
162.159.205.184,4,4,0.00,179.60,0.00,N/A
104.19.94.185,4,4,0.00,179.62,0.00,N/A
172.66.212.68,4,4,0.00,179.63,0.00,N/A
104.17.217.100,4,4,0.00,179.66,0.00,N/A
104.18.236.91,4,4,0.00,179.70,0.00,N/A
104.18.42.132,4,4,0.00,179.71,0.00,N/A
172.64.150.144,4,4,0.00,179.72,0.00,N/A
172.65.244.238,4,4,0.00,179.74,0.00,N/A
172.65.115.230,4,4,0.00,179.74,0.00,N/A
104.21.60.122,4,4,0.00,179.78,0.00,N/A
104.16.231.91,4,4,0.00,179.78,0.00,N/A
104.20.56.16,4,4,0.00,179.80,0.00,N/A
172.64.89.120,4,4,0.00,179.80,0.00,N/A
172.67.169.203,4,4,0.00,179.84,0.00,N/A
104.24.77.157,4,4,0.00,179.84,0.00,N/A
104.21.65.102,4,4,0.00,179.84,0.00,N/A
172.67.194.154,4,4,0.00,179.87,0.00,N/A
172.65.214.133,4,4,0.00,179.87,0.00,N/A
104.21.30.143,4,4,0.00,179.88,0.00,N/A
162.159.17.0,4,4,0.00,179.89,0.00,N/A
104.17.188.175,4,4,0.00,179.89,0.00,N/A
104.21.0.81,4,4,0.00,179.89,0.00,N/A
104.21.231.176,4,4,0.00,179.90,0.00,N/A
104.25.196.197,4,4,0.00,179.93,0.00,N/A
172.64.35.203,4,4,0.00,179.97,0.00,N/A
104.18.218.212,4,4,0.00,179.98,0.00,N/A
104.21.56.108,4,4,0.00,179.99,0.00,N/A
104.25.247.27,4,4,0.00,180.01,0.00,N/A
172.66.216.180,4,4,0.00,180.02,0.00,N/A
104.27.195.189,4,4,0.00,180.02,0.00,N/A
104.25.117.134,4,4,0.00,180.02,0.00,N/A
104.17.8.68,4,4,0.00,180.02,0.00,N/A
104.24.249.165,4,4,0.00,180.03,0.00,N/A
172.67.101.65,4,4,0.00,180.04,0.00,N/A
104.24.128.206,4,4,0.00,180.04,0.00,N/A
104.17.75.79,4,4,0.00,180.04,0.00,N/A
104.21.11.251,4,4,0.00,180.07,0.00,N/A
104.21.193.1,4,4,0.00,180.08,0.00,N/A
104.17.169.102,4,4,0.00,180.10,0.00,N/A
104.27.196.115,4,4,0.00,180.11,0.00,N/A
104.21.10.13,4,4,0.00,180.13,0.00,N/A
104.20.36.240,4,4,0.00,180.14,0.00,N/A
104.18.30.163,4,4,0.00,180.14,0.00,N/A
172.67.216.235,4,4,0.00,180.16,0.00,N/A
172.67.132.51,4,4,0.00,180.17,0.00,N/A
172.67.188.237,4,4,0.00,180.17,0.00,N/A
104.19.152.147,4,4,0.00,180.17,0.00,N/A
104.24.51.82,4,4,0.00,180.19,0.00,N/A
104.21.21.201,4,4,0.00,180.23,0.00,N/A
172.66.149.212,4,4,0.00,180.25,0.00,N/A
172.67.186.247,4,4,0.00,180.25,0.00,N/A
172.67.219.12,4,4,0.00,180.27,0.00,N/A
162.159.152.146,4,4,0.00,180.28,0.00,N/A
172.65.83.227,4,4,0.00,180.28,0.00,N/A
104.17.90.203,4,4,0.00,180.28,0.00,N/A
104.24.208.91,4,4,0.00,180.28,0.00,N/A
104.21.109.84,4,4,0.00,180.29,0.00,N/A
104.24.62.14,4,4,0.00,180.32,0.00,N/A
104.24.187.33,4,4,0.00,180.32,0.00,N/A
172.65.89.173,4,4,0.00,180.33,0.00,N/A
104.25.148.89,4,4,0.00,180.33,0.00,N/A
104.17.171.202,4,4,0.00,180.34,0.00,N/A
104.17.26.68,4,4,0.00,180.36,0.00,N/A
104.21.195.249,4,4,0.00,180.36,0.00,N/A
104.19.147.37,4,4,0.00,180.36,0.00,N/A
172.65.63.52,4,4,0.00,180.37,0.00,N/A
172.67.181.38,4,4,0.00,180.37,0.00,N/A
172.67.180.223,4,4,0.00,180.37,0.00,N/A
104.21.113.106,4,4,0.00,180.38,0.00,N/A
104.25.9.85,4,4,0.00,180.41,0.00,N/A
104.18.248.16,4,4,0.00,180.42,0.00,N/A
198.41.223.111,4,4,0.00,180.45,0.00,N/A
172.65.190.57,4,4,0.00,180.46,0.00,N/A
172.67.168.90,4,4,0.00,180.47,0.00,N/A
172.65.162.43,4,4,0.00,180.51,0.00,N/A
104.18.228.164,4,4,0.00,180.54,0.00,N/A
104.17.46.211,4,4,0.00,180.54,0.00,N/A
104.25.215.199,4,4,0.00,180.54,0.00,N/A
